SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35135,OPTIDX,0,MIDCPNIFTY-Apr2026-15450-PE,120.0,MIDCPNIFTY 28 APR 15450 PUT,2026-04-28 14:30:00,15450.0,PE,5.0,M,OP,,
NSE,D,35136,OPTIDX,0,MIDCPNIFTY-Apr2026-15475-CE,120.0,MIDCPNIFTY 28 APR 15475 CALL,2026-04-28 14:30:00,15475.0,CE,5.0,M,OP,,
NSE,D,35137,OPTIDX,0,MIDCPNIFTY-Apr2026-15475-PE,120.0,MIDCPNIFTY 28 APR 15475 PUT,2026-04-28 14:30:00,15475.0,PE,5.0,M,OP,,
NSE,D,35138,OPTIDX,0,BANKNIFTY-Apr2026-74700-CE,30.0,BANKNIFTY 28 APR 74700 CALL,2026-04-28 14:30:00,74700.0,CE,5.0,M,OP,,
NSE,D,35139,OPTIDX,0,BANKNIFTY-Apr2026-74700-PE,30.0,BANKNIFTY 28 APR 74700 PUT,2026-04-28 14:30:00,74700.0,PE,5.0,M,OP,,
NSE,D,35140,OPTIDX,0,BANKNIFTY-Apr2026-74800-CE,30.0,BANKNIFTY 28 APR 74800 CALL,2026-04-28 14:30:00,74800.0,CE,5.0,M,OP,,
NSE,D,35141,OPTIDX,0,BANKNIFTY-Apr2026-74800-PE,30.0,BANKNIFTY 28 APR 74800 PUT,2026-04-28 14:30:00,74800.0,PE,5.0,M,OP,,
NSE,D,35142,OPTIDX,0,BANKNIFTY-Apr2026-74900-CE,30.0,BANKNIFTY 28 APR 74900 CALL,2026-04-28 14:30:00,74900.0,CE,5.0,M,OP,,
NSE,D,35143,OPTIDX,0,BANKNIFTY-Apr2026-74900-PE,30.0,BANKNIFTY 28 APR 74900 PUT,2026-04-28 14:30:00,74900.0,PE,5.0,M,OP,,
NSE,D,35144,OPTIDX,0,MIDCPNIFTY-Apr2026-15525-CE,120.0,MIDCPNIFTY 28 APR 15525 CALL,2026-04-28 14:30:00,15525.0,CE,5.0,M,OP,,
NSE,D,35145,OPTIDX,0,MIDCPNIFTY-Apr2026-15525-PE,120.0,MIDCPNIFTY 28 APR 15525 PUT,2026-04-28 14:30:00,15525.0,PE,5.0,M,OP,,
NSE,D,35146,OPTIDX,0,BANKNIFTY-Apr2026-82500-CE,30.0,BANKNIFTY 28 APR 82500 CALL,2026-04-28 14:30:00,82500.0,CE,5.0,M,OP,,
NSE,D,35148,OPTIDX,0,BANKNIFTY-Apr2026-82500-PE,30.0,BANKNIFTY 28 APR 82500 PUT,2026-04-28 14:30:00,82500.0,PE,5.0,M,OP,,
NSE,D,35150,OPTIDX,0,MIDCPNIFTY-Apr2026-15550-CE,120.0,MIDCPNIFTY 28 APR 15550 CALL,2026-04-28 14:30:00,15550.0,CE,5.0,M,OP,,
NSE,D,35151,OPTIDX,0,MIDCPNIFTY-Apr2026-15550-PE,120.0,MIDCPNIFTY 28 APR 15550 PUT,2026-04-28 14:30:00,15550.0,PE,5.0,M,OP,,
NSE,D,35152,OPTIDX,0,MIDCPNIFTY-Apr2026-15575-CE,120.0,MIDCPNIFTY 28 APR 15575 CALL,2026-04-28 14:30:00,15575.0,CE,5.0,M,OP,,
